group   key   english   french
validation   mimes   The :attribute field must be a file of type: :values.   Le champ :attribute doit être un fichier de type :values.
validation   mimetypes   The :attribute field must be a file of type: :values.   Le champ :attribute doit être un fichier de type :values.
validation   min   The :attribute field must have at least :min.   Le champ :attribute doit avoir au moins :min.
validation   min_digits   The :attribute field must have at least :min digits.   Le champ :attribute doit contenir au moins :min chiffres.
validation   missing   The :attribute field must be missing.   Le champ :attribute doit être manquant.
validation   missing_if   The :attribute field must be missing when :other is :value.   Le champ :attribute doit être manquant lorsque :other est :value.
validation   missing_unless   The :attribute field must be missing unless :other is :value.   Le champ :attribute doit être manquant sauf si :other est :value.
validation   missing_with   The :attribute field must be missing when :values is present.   Le champ :attribute doit être manquant lorsque :values est présent.
validation   missing_with_all   The :attribute field must be missing when :values are present.   Le champ :attribute doit être manquant lorsque :values sont présents.
validation   multiple_of   The :attribute field must be a multiple of :value.   Le champ :attribute doit être un multiple de :value.
validation   not_in   The selected :attribute is invalid.   L'élément sélectionné :attribute n'est pas valide.
validation   not_regex   The :attribute field format is invalid.   Le format du champ :attribute n'est pas valide.
validation   numeric   The :attribute field must be a number.   Le champ :attribute doit être un nombre.
validation   password   The :attribute field must meet the password requirements.   Le champ :attribute doit répondre aux exigences du mot de passe.
validation   password.letters   The :attribute field must contain at least one letter.   Le champ :attribute doit contenir au moins une lettre.
validation   password.mixed   The :attribute field must contain at least one uppercase and one lowercase letter.   Le champ :attribute doit contenir au moins une lettre majuscule et une lettre minuscule.
validation   password.numbers   The :attribute field must contain at least one number.   Le champ :attribute doit contenir au moins un chiffre.
validation   password.symbols   The :attribute field must contain at least one symbol.   Le champ :attribute doit contenir au moins un symbole.
validation   password.uncompromised   The given :attribute has appeared in a data leak. Please choose a different :attribute.   Le :attribute donné est apparu dans une fuite de données. Veuillez choisir un autre :attribute.
validation   present   The :attribute field must be present.   Le champ :attribute doit être présent.
validation   prohibited   The :attribute field is prohibited.   Le champ :attribute est interdit.
validation   prohibited_if   The :attribute field is prohibited when :other is :value.   Le champ :attribute est interdit lorsque :other est :value.
validation   prohibited_unless   The :attribute field is prohibited unless :other is in :values.   Le champ :attribute est interdit sauf si :other est dans :values.
validation   prohibits   The :attribute field prohibits :other from being present.   Le champ :attribute interdit à :other d'être présent.
validation   regex   The :attribute field format is invalid.   Le format du champ :attribute n'est pas valide.
validation   required   The :attribute field is required.   Le champ :attribute est obligatoire.
validation   required_array_keys   The :attribute field must contain entries for: :values.   Le champ :attribute doit contenir des entrées pour :values.
validation   required_if   The :attribute field is required when :other is :value.   Le champ :attribute est obligatoire lorsque :other est :value.
validation   required_if_accepted   The :attribute field is required when :other is accepted.   Le champ :attribute est obligatoire lorsque :other est accepté.
validation   required_unless   The :attribute field is required unless :other is in :values.   Le champ :attribute est obligatoire sauf si :other est dans :values.
validation   required_with   The :attribute field is required when :values is present.   Le champ :attribute est obligatoire lorsque :values est présent.
validation   required_with_all   The :attribute field is required when :values are present.   Le champ :attribute est obligatoire lorsque :values sont présents.
validation   required_without   The :attribute field is required when :values is not present.   Le champ :attribute est obligatoire lorsque :values n'est pas présent.
validation   required_without_all   The :attribute field is required when none of :values are present.   Le champ :attribute est obligatoire lorsque aucun des :values n'est présent.
validation   same   The :attribute field must match :other.   Le champ :attribute doit correspondre à :other.
validation   size   The :attribute field must be :size.   Le champ :attribute doit avoir :size.
validation   starts_with   The :attribute field must start with one of the following: :values.   Le champ :attribute doit commencer par l'un des éléments suivants :values.
validation   string   The :attribute field must be a string.   Le champ :attribute doit être une chaîne de caractères.
validation   timezone   The :attribute field must be a valid timezone.   Le champ :attribute doit être un fuseau horaire valide.
validation   unique   The :attribute has already been taken.   Le :attribute a déjà été pris.
validation   uploaded   The :attribute failed to upload.   Le :attribute n'a pas pu être téléchargé.
validation   uppercase   The :attribute field must be uppercase.   Le champ :attribute doit être en majuscules.
validation   url   The :attribute field must be a valid URL.   Le champ :attribute doit être une URL valide.
validation   ulid   The :attribute field must be a valid ULID.   Le champ :attribute doit être un ULID valide.
validation   uuid   The :attribute field must be a valid UUID.   Le champ :attribute doit être un UUID valide.
validation   min.string   The :attribute must be at least :min characters.   Le champ :attribute doit avoir au moins :min caractères.
validation   max.string   The :attribute may not be greater than :max characters.   Le champ :attribute ne doit pas dépasser :max caractères.

pagination   previous   « Previous   « Précédent
pagination   next   Next »   Suivant »

passwords   reset   Your password has been reset.   Votre mot de passe a été réinitialisé.
passwords   sent   We have emailed your password reset link!   Nous avons envoyé votre lien de réinitialisation de mot de passe par e-mail !
passwords   token   This password reset token is invalid.   Ce jeton de réinitialisation de mot de passe n'est pas valide.
passwords   user   We can't find a user with that email address.   Nous ne pouvons pas trouver d'utilisateur avec cette adresse e-mail.
passwords   throttle   Too many login attempts. Please try again in :seconds seconds.   Trop de tentatives de connexion. Veuillez réessayer dans :seconds secondes.

messages   welcome   Welcome to our application!   Bienvenue dans notre application !

families   food   Food   Alimentation
families   animals   Animals   Animaux
families   airplane   Airplane   Avion
families   boat   Boat   Bateau
families   truck   Truck   Camion
families   cinema   Cinema   Cinéma
families   trade   Trade   Commerce
families   culture   Culture   Culture
families   law   Law   Droit
families   education   Education   Education
families   childhood   Childhood   Enfance
families   aesthetics   Aesthetics   Esthétique
families   event_planning   Event Planning   Evènementiel
families   finance   Finance   Finance
families   high_tech   High Tech   High Tech
families   hospitality   Hospitality   Hôtellerie
families   literature   Literature   Littérature
families   leisure_games   Leisure & Games   Loisirs & Jeux
families   home   Home   Maison
families   audio_media   Audio Media   Média Audio
families   print_media   Print Media   Média Imprimé
families   motorcycle   Motorcycle   Moto
families   music   Music   Musique
families   nature   Nature   Nature
families   dating   Dating   Rencontres
families   health   Health   Santé
families   security   Security   Sécurité
families   personal_services   Personal Services   Services à la personne
families   sports   Sports   Sports
families   theatre_dance   Theatre & Dance   Théâtre & Danse
families   construction   Construction   Travaux
families   bicycle   Bicycle   Vélo
families   automobile   Automobile   Automobile
families   travel   Travel   Voyage
families   web   Web   Web
